IncidentNumber,DateOfCall,CalYear,TimeOfCall,HourOfCall,IncidentGroup,StopCodeDescription,SpecialServiceType,PropertyCategory,PropertyType,AddressQualifier,Postcode_full,Postcode_district,UPRN,USRN,IncGeo_BoroughCode,IncGeo_BoroughName,ProperCase,IncGeo_WardCode,IncGeo_WardName,IncGeo_WardNameNew,Easting_m,Northing_m,Easting_rounded,Northing_rounded,Latitude,Longitude,FRS,IncidentStationGround,FirstPumpArriving_AttendanceTime,FirstPumpArriving_DeployedFromStation,SecondPumpArriving_AttendanceTime,SecondPumpArriving_DeployedFromStation,NumStationsWithPumpsAttending,NumPumpsAttending,PumpCount,PumpHoursRoundUp,Notional Cost (£),NumCalls
108631-17072022,17 Jul 2022,2022,17:00:40,17,False Alarm,False alarm - Good intent,,Dwelling,House - single occupancy ,Correct incident location,,TW7,0,21501476,E09000018,HOUNSLOW,Hounslow,E05013623,HOUNSLOW SOUTH,HOUNSLOW SOUTH,,,514850,174850,,,London,Heston,872,Kingston,,,1,1,1,1,364,1
108660-17072022,17 Jul 2022,2022,17:57:00,17,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Within same building,,TW5,0,21501195,E09000018,HOUNSLOW,Hounslow,E05013618,HESTON EAST,HESTON EAST,,,513350,177650,,,London,Heston,,,,,1,1,1,1,364,1
108730-17072022,17 Jul 2022,2022,19:30:07,19,Fire,Primary Fire,,Non Residential,Private Garden Shed ,On land associated with building,,W4,0,21500176,E09000018,HOUNSLOW,Hounslow,E05013610,CHISWICK HOMEFIELDS,CHISWICK HOMEFIELDS,,,521250,177750,,,London,Chiswick,285,Richmond,408,Hammersmith,2,2,2,2,728,2
108834-17072022,17 Jul 2022,2022,21:23:58,21,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,W4,0,21501074,E09000018,HOUNSLOW,Hounslow,E05013611,CHISWICK RIVERSIDE,CHISWICK RIVERSIDE,,,519450,178250,,,London,Chiswick,166,Chiswick,281,Acton,2,2,2,1,364,1
108838-17072022,17 Jul 2022,2022,21:29:11,21,False Alarm,False alarm - Good intent,,Outdoor,Park ,Open land/water - nearest gazetteer location,TW3 1XX,TW3,2.00004E+11,21500639,E09000018,HOUNSLOW,Hounslow,E05013621,HOUNSLOW EAST,HOUNSLOW EAST,514295,175550,514250,175550,51.46739448,-0.35592733,London,Heston,539,Heston,615,Feltham,2,2,2,1,364,1
108866-17072022,17 Jul 2022,2022,21:49:56,21,Special Service,Special Service,Animal assistance incidents,Dwelling,House - single occupancy ,Within same building,,TW7,0,21501798,E09000018,HOUNSLOW,Hounslow,E05013627,SYON & BRENTFORD LOCK,SYON & BRENTFORD LOCK,,,515750,176450,,,London,Heston,191,Heston,,,1,1,1,1,364,1
108885-17072022,17 Jul 2022,2022,22:15:40,22,Fire,Secondary Fire,,Outdoor,Grassland/ pasture/ grazing etc ,Open land/water - nearest gazetteer location,TW5 0JJ,TW5,1.00022E+11,21500329,E09000018,HOUNSLOW,Hounslow,E05013617,HESTON CENTRAL,HESTON CENTRAL,512636,176986,512650,176950,51.4806301,-0.379346594,London,Heston,338,Heston,,,1,1,1,1,364,8
108961-18072022,18 Jul 2022,2022,00:53:19,0,Fire,Primary Fire,,Road Vehicle,Motorcycle ,Open land/water - nearest gazetteer location,TW13 4SG,TW13,10001264407,21501765,E09000018,HOUNSLOW,Hounslow,E05013614,FELTHAM WEST,FELTHAM WEST,509418,172197,509450,172150,51.43821738,-0.427149396,London,Feltham,344,Feltham,,,1,1,1,1,364,1
108966-18072022,18 Jul 2022,2022,01:16:36,1,False Alarm,AFA,,Non Residential,Large supermarket ,Correct incident location,TW13 4AU,TW13,10091693916,21500609,E09000018,HOUNSLOW,Hounslow,E05013614,FELTHAM WEST,FELTHAM WEST,510448,173172,510450,173150,51.44678259,-0.412034884,London,Feltham,709,Twickenham,,,1,1,1,1,364,1
109004-18072022,18 Jul 2022,2022,03:55:21,3,False Alarm,False alarm - Good intent,,Dwelling,House - single occupancy ,Within same building,,TW7,0,21590109,E09000018,HOUNSLOW,Hounslow,E05013625,ISLEWORTH,ISLEWORTH,,,515850,174950,,,London,Heston,386,Heston,462,Richmond,2,2,2,1,364,1
109023-18072022,18 Jul 2022,2022,05:15:59,5,Special Service,Special Service,No action (not false alarm),Dwelling,House - single occupancy ,Within same building,,TW14,0,21500093,E09000018,HOUNSLOW,Hounslow,E05013606,BEDFONT,BEDFONT,,,508550,174050,,,London,Feltham,343,Feltham,,,1,1,1,1,364,2
109134-18072022,18 Jul 2022,2022,09:38:38,9,Special Service,Special Service,Effecting entry/exit,Dwelling,House - single occupancy ,Within same building,,TW7,0,21501137,E09000018,HOUNSLOW,Hounslow,E05013625,ISLEWORTH,ISLEWORTH,,,515950,175150,,,London,Heston,366,Heston,,,1,1,1,1,364,2
109284-18072022,18 Jul 2022,2022,12:54:16,12,Special Service,Special Service,Medical Incident,Non Residential,Hospital ,Nearby address - no building in street,TW7 6AF,TW7,2.00004E+11,21501137,E09000018,HOUNSLOW,Hounslow,E05013627,SYON & BRENTFORD LOCK,SYON & BRENTFORD LOCK,516465,176295,516450,176250,51.47364264,-0.324463209,London,Heston,494,Richmond,,,1,1,1,1,364,1
109359-18072022,18 Jul 2022,2022,14:12:00,14,False Alarm,AFA,,Dwelling,Unlicensed House in Multiple Occupation - Up to 2 storeys ,Correct incident location,,TW4,0,21501181,E09000018,HOUNSLOW,Hounslow,E05013622,HOUNSLOW HEATH,HOUNSLOW HEATH,,,512950,174850,,,London,Feltham,351,Heston,369,Feltham,2,2,2,1,364,1
109366-18072022,18 Jul 2022,2022,14:18:54,14,Special Service,Special Service,Effecting entry/exit,Dwelling,House - single occupancy ,Correct incident location,,TW14,0,21501337,E09000018,HOUNSLOW,Hounslow,E05013606,BEDFONT,BEDFONT,,,509950,174250,,,London,Feltham,599,Heathrow,,,1,1,1,1,364,1
109407-18072022,18 Jul 2022,2022,14:39:27,14,Fire,Secondary Fire,,Outdoor,Grassland/ pasture/ grazing etc ,On land associated with building,TW14 9QU,TW14,10093259680,21500781,E09000018,HOUNSLOW,Hounslow,E05013606,BEDFONT,BEDFONT,509394,175044,509350,175050,51.4638071,-0.426624388,London,Feltham,262,Feltham,,,1,1,1,2,728,14
109465-18072022,18 Jul 2022,2022,15:14:47,15,False Alarm,AFA,,Non Residential,Secondary school,Correct incident location,TW8 0EX,TW8,1.00023E+11,21501508,E09000018,HOUNSLOW,Hounslow,E05013611,CHISWICK RIVERSIDE,CHISWICK RIVERSIDE,519068,178187,519050,178150,51.49011068,-0.286370592,London,Chiswick,298,Richmond,,,1,1,1,1,364,1
109468-18072022,18 Jul 2022,2022,15:16:59,15,Fire,Secondary Fire,,Outdoor,Canal/riverbank vegetation ,In street close to gazetteer location,TW14 9ST,TW14,1.00022E+11,21501296,E09000018,HOUNSLOW,Hounslow,E05013606,BEDFONT,BEDFONT,508953,174257,508950,174250,51.45682364,-0.433209658,London,Feltham,463,Feltham,,,1,1,1,1,364,2
109473-18072022,18 Jul 2022,2022,15:24:02,15,Fire,Secondary Fire,,Outdoor Structure,Pipe or drain ,In street close to gazetteer location,W4 4JN,W4,1.00023E+11,21500590,E09000018,HOUNSLOW,Hounslow,E05013609,CHISWICK GUNNERSBURY,CHISWICK GUNNERSBURY,520489,178354,520450,178350,51.49131106,-0.265848243,London,Chiswick,369,Acton,,,1,1,1,1,364,1
109485-18072022,18 Jul 2022,2022,15:36:34,15,Special Service,Special Service,Making Safe (not RTC),Dwelling,House - single occupancy ,Within same building,,TW7,0,21501119,E09000018,HOUNSLOW,Hounslow,E05013626,OSTERLEY & SPRING GROVE,OSTERLEY & SPRING GROVE,,,514950,176450,,,London,Heston,217,Heston,,,1,1,1,1,364,1
109516-18072022,18 Jul 2022,2022,15:54:56,15,Fire,Secondary Fire,,Outdoor,Canal/riverbank vegetation ,In street close to gazetteer location,TW14 9PT,TW14,1.00024E+11,21500576,E09000018,HOUNSLOW,Hounslow,E05013606,BEDFONT,BEDFONT,508860,174249,508850,174250,51.45677099,-0.434544358,London,Feltham,335,Feltham,,,1,1,1,1,364,3
109521-18072022,18 Jul 2022,2022,15:59:37,15,False Alarm,AFA,,Other Residential,Nursing/Care Home/Hospice,Within same building,TW8 0PT,TW8,1.00022E+11,21500685,E09000018,HOUNSLOW,Hounslow,E05013608,BRENTFORD WEST,BRENTFORD WEST,517610,178039,517650,178050,51.48908523,-0.307411548,London,Chiswick,316,Heston,381,Ealing,2,2,2,1,364,1
109560-18072022,18 Jul 2022,2022,16:35:01,16,False Alarm,AFA,,Non Residential,TV/film/music/art studio ,Within same building,TW7 5QD,TW7,1.00024E+11,21501550,E09000018,HOUNSLOW,Hounslow,E05013626,OSTERLEY & SPRING GROVE,OSTERLEY & SPRING GROVE,516096,177815,516050,177850,51.48737931,-0.329271017,London,Heston,249,Heston,279,Heston,1,2,2,2,728,1
109745-18072022,18 Jul 2022,2022,18:23:36,18,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,TW3,0,21500610,E09000018,HOUNSLOW,Hounslow,E05013621,HOUNSLOW EAST,HOUNSLOW EAST,,,514350,175850,,,London,Heston,,,,,1,1,1,1,364,1
110164-19072022,19 Jul 2022,2022,01:34:57,1,Special Service,Special Service,Spills and Leaks (not RTC),Outdoor,Road surface/pavement ,In street outside gazetteer location,UB2 5SF,UB2,2.00004E+11,21500815,E09000018,HOUNSLOW,Hounslow,E05013619,HESTON WEST,HESTON WEST,512474,178134,512450,178150,51.49098235,-0.381312557,London,Southall,534,Southall,,,1,1,1,1,364,1
110182-19072022,19 Jul 2022,2022,02:20:08,2,Fire,Secondary Fire,,Outdoor Structure,Pipe or drain ,In street outside gazetteer location,TW4 7RP,TW4,1.00022E+11,21500083,E09000018,HOUNSLOW,Hounslow,E05013624,HOUNSLOW WEST,HOUNSLOW WEST,511766,176301,511750,176350,51.4746486,-0.392097352,London,Feltham,757,Heston,,,1,1,1,1,364,1
110360-19072022,19 Jul 2022,2022,09:46:36,9,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Within same building,,TW3,0,21501361,E09000018,HOUNSLOW,Hounslow,E05013622,HOUNSLOW HEATH,HOUNSLOW HEATH,,,513150,175350,,,London,Heston,134,Feltham,208,Feltham,1,3,3,1,364,2
110422-19072022,19 Jul 2022,2022,11:12:19,11,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,,TW3,0,21520064,E09000018,HOUNSLOW,Hounslow,E05013621,HOUNSLOW EAST,HOUNSLOW EAST,,,514450,175850,,,London,Heston,553,Feltham,648,Chiswick,4,4,4,2,728,2
110701-19072022,19 Jul 2022,2022,12:44:39,12,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,TW7,0,21590066,E09000018,HOUNSLOW,Hounslow,E05013626,OSTERLEY & SPRING GROVE,OSTERLEY & SPRING GROVE,,,514850,176250,,,London,Heston,488,Richmond,,,1,1,1,1,364,1
111696-19072022,19 Jul 2022,2022,18:08:09,18,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,TW13,0,21500609,E09000018,HOUNSLOW,Hounslow,E05013613,FELTHAM NORTH,FELTHAM NORTH,,,510650,173250,,,London,Feltham,,,,,1,1,1,1,364,2
112335-19072022,19 Jul 2022,2022,20:30:30,20,False Alarm,False alarm - Good intent,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,W4,0,21501226,E09000018,HOUNSLOW,Hounslow,E05013609,CHISWICK GUNNERSBURY,CHISWICK GUNNERSBURY,,,521250,178050,,,London,Chiswick,425,Acton,,,1,1,1,1,364,1
112434-19072022,19 Jul 2022,2022,21:10:01,21,False Alarm,False alarm - Good intent,,Dwelling,House - single occupancy ,Correct incident location,,TW7,0,21501230,E09000018,HOUNSLOW,Hounslow,E05013623,HOUNSLOW SOUTH,HOUNSLOW SOUTH,,,515050,175950,,,London,Heston,,,,,1,1,1,1,364,1
112710-20072022,20 Jul 2022,2022,02:21:49,2,Special Service,Special Service,Effecting entry/exit,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,TW3,0,21500676,E09000018,HOUNSLOW,Hounslow,E05013620,HOUNSLOW CENTRAL,HOUNSLOW CENTRAL,,,513550,175850,,,London,Heston,443,Feltham,,,1,1,1,1,364,2
112770-20072022,20 Jul 2022,2022,06:02:24,6,Fire,Secondary Fire,,Outdoor,Park ,On land associated with building,TW5 9RY,TW5,10001273582,21500512,E09000018,HOUNSLOW,Hounslow,E05013612,CRANFORD,CRANFORD,510442,178133,510450,178150,51.49136924,-0.41056898,London,Hayes,471,Heathrow,,,1,1,1,3,1092,1
112785-20072022,20 Jul 2022,2022,06:46:46,6,False Alarm,AFA,,Non Residential,Vehicle Repair Workshop,Within same building,UB2 5NB,UB2,10091692552,21500580,E09000018,HOUNSLOW,Hounslow,E05013619,HESTON WEST,HESTON WEST,510950,178934,510950,178950,51.49846792,-0.40301381,London,Hayes,374,Hayes,,,1,1,1,1,364,1
112795-20072022,20 Jul 2022,2022,07:02:37,7,Special Service,Special Service,RTC,Road Vehicle,Car ,In street outside gazetteer location,W4 2RP,W4,10001272049,21500306,E09000018,HOUNSLOW,Hounslow,E05013610,CHISWICK HOMEFIELDS,CHISWICK HOMEFIELDS,521227,177630,521250,177650,51.48464343,-0.255472072,London,Chiswick,325,Richmond,,,1,1,1,1,364,1
112885-20072022,20 Jul 2022,2022,10:05:03,10,False Alarm,AFA,,Non Residential,Vehicle Repair Workshop,Correct incident location,UB2 5NB,UB2,10091692552,21500580,E09000018,HOUNSLOW,Hounslow,E05013619,HESTON WEST,HESTON WEST,510938,178939,510950,178950,51.49851678,-0.403182971,London,Hayes,369,Hayes,,,1,1,1,1,364,1
112962-20072022,20 Jul 2022,2022,11:30:40,11,Fire,Secondary Fire,,Outdoor,Domestic garden (vegetation not equipment) ,On land associated with building,TW14 0DG,TW14,1.00022E+11,21501041,E09000018,HOUNSLOW,Hounslow,E05013613,FELTHAM NORTH,FELTHAM NORTH,511420,173807,511450,173850,51.45229759,-0.397856645,London,Feltham,347,Feltham,,,1,1,1,1,364,2
112988-20072022,20 Jul 2022,2022,12:04:56,12,Fire,Primary Fire,,Non Residential,Warehouse ,Correct incident location,TW3 1UA,TW3,1.00023E+11,21501254,E09000018,HOUNSLOW,Hounslow,E05013621,HOUNSLOW EAST,HOUNSLOW EAST,514223,175757,514250,175750,51.46926583,-0.356900356,London,Heston,236,Heston,242,Heston,2,3,4,7,2548,3
113154-20072022,20 Jul 2022,2022,13:10:10,13,False Alarm,AFA,,Non Residential,Recycling plant,Within same building,TW8 9HF,TW8,1.00023E+11,21501130,E09000018,HOUNSLOW,Hounslow,E05013626,OSTERLEY & SPRING GROVE,OSTERLEY & SPRING GROVE,516420,178046,516450,178050,51.48938703,-0.324537313,London,Heston,513,Acton,,,1,1,1,1,364,3
113210-20072022,20 Jul 2022,2022,14:00:17,14,Special Service,Special Service,Flooding,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,TW3,0,21500896,E09000018,HOUNSLOW,Hounslow,E05013620,HOUNSLOW CENTRAL,HOUNSLOW CENTRAL,,,514050,175850,,,London,Heston,233,Heston,,,1,1,1,1,364,1
113308-20072022,20 Jul 2022,2022,16:27:41,16,False Alarm,False alarm - Good intent,,Outdoor Structure,Roadside furniture (eg lamp posts/ road signs/ telegraph poles/ speed cameras),In street outside gazetteer location,TW7 4EJ,TW7,1.00022E+11,21500707,E09000018,HOUNSLOW,Hounslow,E05013626,OSTERLEY & SPRING GROVE,OSTERLEY & SPRING GROVE,515174,176385,515150,176350,51.47471407,-0.343014578,London,Heston,,,,,,,,,,1
113335-20072022,20 Jul 2022,2022,16:58:29,16,Fire,Secondary Fire,,Outdoor,Railway trackside vegetation ,Open land/water - nearest gazetteer location,TW13 4EL,TW13,1.00022E+11,21500533,E09000018,HOUNSLOW,Hounslow,E05013614,FELTHAM WEST,FELTHAM WEST,509909,173041,509950,173050,51.4457056,-0.419827589,London,Feltham,412,Feltham,,,1,1,1,2,728,9
113390-20072022,20 Jul 2022,2022,17:54:25,17,False Alarm,False alarm - Good intent,,Dwelling,House - single occupancy ,Correct incident location,,TW8,0,21500015,E09000018,HOUNSLOW,Hounslow,E05013608,BRENTFORD WEST,BRENTFORD WEST,,,518050,177750,,,London,Chiswick,394,Heston,490,Chiswick,2,2,2,1,364,1
113393-20072022,20 Jul 2022,2022,17:57:28,17,False Alarm,False alarm - Good intent,,Dwelling,House - single occupancy ,Within same building,,TW13,0,21501033,E09000018,HOUNSLOW,Hounslow,E05013614,FELTHAM WEST,FELTHAM WEST,,,510050,172750,,,London,Feltham,595,Twickenham,763,Twickenham,1,2,2,1,364,1
113395-20072022,20 Jul 2022,2022,18:02:13,18,False Alarm,False alarm - Good intent,,Dwelling,False Alarm - Property not found,Correct incident location,,TW13,0,21580438,E09000018,HOUNSLOW,Hounslow,E05013615,HANWORTH PARK,HANWORTH PARK,,,511250,171350,,,London,Feltham,1073,Heston,,,1,1,1,1,364,1
113407-20072022,20 Jul 2022,2022,18:16:34,18,Special Service,Special Service,Medical Incident,Outdoor,Road surface/pavement ,In street outside gazetteer location,TW8 0NG,TW8,1.00022E+11,21500015,E09000018,HOUNSLOW,Hounslow,E05013608,BRENTFORD WEST,BRENTFORD WEST,518015,177667,518050,177650,51.485655,-0.301697284,London,Chiswick,2,Chiswick,,,1,1,1,1,364,1
113411-20072022,20 Jul 2022,2022,18:21:03,18,False Alarm,False alarm - Good intent,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,TW13,0,21500733,E09000018,HOUNSLOW,Hounslow,E05013614,FELTHAM WEST,FELTHAM WEST,,,510250,172650,,,London,Feltham,230,Feltham,257,Feltham,2,2,2,1,364,1
113459-20072022,20 Jul 2022,2022,18:59:44,18,False Alarm,AFA,,Other Residential,Retirement/Old Persons Home,Within same building,TW3 3FQ,TW3,2.00004E+11,21501361,E09000018,HOUNSLOW,Hounslow,E05013622,HOUNSLOW HEATH,HOUNSLOW HEATH,513173,175392,513150,175350,51.4661959,-0.3721331,London,Heston,314,Heston,354,Feltham,2,2,2,1,364,1
113471-20072022,20 Jul 2022,2022,19:25:49,19,Fire,Primary Fire,,Non Residential,Prison ,Correct incident location,TW13 4ND,TW13,1.00023E+11,21509601,E09000018,HOUNSLOW,Hounslow,E05013614,FELTHAM WEST,FELTHAM WEST,508809,172540,508850,172550,51.44141223,-0.435798537,London,Feltham,343,Feltham,510,Twickenham,2,3,3,3,1092,1
113558-20072022,20 Jul 2022,2022,20:45:52,20,False Alarm,False alarm - Good intent,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,,TW13,0,21590175,E09000018,HOUNSLOW,Hounslow,E05013614,FELTHAM WEST,FELTHAM WEST,,,509550,172650,,,London,Feltham,431,Feltham,,,1,1,1,1,364,1
113560-20072022,20 Jul 2022,2022,20:52:04,20,Fire,Secondary Fire,,Outdoor Structure,Fence,On land associated with building,UB2 5SN,UB2,1.00022E+11,21500290,E09000018,HOUNSLOW,Hounslow,E05013618,HESTON EAST,HESTON EAST,512538,178127,512550,178150,51.49090286,-0.38040499,London,Southall,388,Southall,,,1,1,1,1,364,2
113844-21072022,21 Jul 2022,2022,09:36:20,9,False Alarm,False alarm - Good intent,,Non Residential,Factory ,Correct incident location,TW14 0AN,TW14,10091689747,21500229,E09000018,HOUNSLOW,Hounslow,E05013613,FELTHAM NORTH,FELTHAM NORTH,510589,174495,510550,174450,51.4586462,-0.409598766,London,Feltham,172,Feltham,,,1,1,1,1,364,2
113850-21072022,21 Jul 2022,2022,09:48:15,9,Special Service,Special Service,Flooding,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,TW13,0,21500741,E09000018,HOUNSLOW,Hounslow,E05013616,HANWORTH VILLAGE,HANWORTH VILLAGE,,,511850,172850,,,London,Feltham,362,Feltham,,,1,1,1,1,364,1
114105-21072022,21 Jul 2022,2022,15:37:40,15,False Alarm,False alarm - Good intent,,Non Residential,Hospital ,Within same building,TW7 6AF,TW7,1.00023E+11,21501137,E09000018,HOUNSLOW,Hounslow,E05013627,SYON & BRENTFORD LOCK,SYON & BRENTFORD LOCK,516465,176300,516450,176350,51.47368874,-0.324454792,London,Heston,279,Heston,,,1,1,1,1,364,1
114167-21072022,21 Jul 2022,2022,17:10:28,17,Special Service,Special Service,Flooding,Dwelling,House - single occupancy ,Correct incident location,,TW4,0,21500689,E09000018,HOUNSLOW,Hounslow,E05013612,CRANFORD,CRANFORD,,,511550,176250,,,London,Feltham,348,Feltham,,,1,1,1,1,364,1
114226-21072022,21 Jul 2022,2022,18:46:13,18,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Within same building,,TW8,0,21500607,E09000018,HOUNSLOW,Hounslow,E05013627,SYON & BRENTFORD LOCK,SYON & BRENTFORD LOCK,,,517450,177350,,,London,Heston,400,Heston,685,Chiswick,2,2,2,1,364,1
114248-21072022,21 Jul 2022,2022,19:19:38,19,Special Service,Special Service,RTC,Road Vehicle,Motorcycle ,In street close to gazetteer location,TW7 5FB,TW7,10090800101,21501225,E09000018,HOUNSLOW,Hounslow,E05013627,SYON & BRENTFORD LOCK,SYON & BRENTFORD LOCK,515949,176555,515950,176550,51.4760875,-0.331800841,London,Heston,39,Heston,,,1,1,1,1,364,1
114265-21072022,21 Jul 2022,2022,19:33:15,19,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Correct incident location,,W4,0,21501494,E09000018,HOUNSLOW,Hounslow,E05013611,CHISWICK RIVERSIDE,CHISWICK RIVERSIDE,,,519450,178250,,,London,Chiswick,206,Chiswick,,,1,1,1,1,364,2
114329-21072022,21 Jul 2022,2022,21:20:19,21,False Alarm,AFA,,Dwelling,Licensed House in Multiple Occupation - Up to 2 storeys ,Within same building,,TW14,0,21500560,E09000018,HOUNSLOW,Hounslow,E05013613,FELTHAM NORTH,FELTHAM NORTH,,,510950,173650,,,London,Feltham,168,Feltham,179,Feltham,1,2,2,1,364,1
114375-21072022,21 Jul 2022,2022,22:53:26,22,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,W4,0,21500356,E09000018,HOUNSLOW,Hounslow,E05013609,CHISWICK GUNNERSBURY,CHISWICK GUNNERSBURY,,,521250,178050,,,London,Chiswick,,,,,1,1,1,1,364,1
114411-22072022,22 Jul 2022,2022,00:02:14,0,Fire,Secondary Fire,,Outdoor Structure,Wheelie bin (domestic size),Correct incident location,TW13 4HQ,TW13,1.00022E+11,21501158,E09000018,HOUNSLOW,Hounslow,E05013615,HANWORTH PARK,HANWORTH PARK,510310,172420,510350,172450,51.4400455,-0.414258,London,Feltham,321,Feltham,,,1,1,1,1,364,1
114479-22072022,22 Jul 2022,2022,04:59:14,4,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,,TW8,0,21500607,E09000018,HOUNSLOW,Hounslow,E05013627,SYON & BRENTFORD LOCK,SYON & BRENTFORD LOCK,,,517450,177350,,,London,Heston,321,Heston,359,Heston,1,2,2,1,364,1
114556-22072022,22 Jul 2022,2022,08:08:08,8,Special Service,Special Service,Effecting entry/exit,Dwelling,House - single occupancy ,Correct incident location,,W4,0,21501140,E09000018,HOUNSLOW,Hounslow,E05013610,CHISWICK HOMEFIELDS,CHISWICK HOMEFIELDS,,,521450,178650,,,London,Chiswick,217,Chiswick,,,1,1,1,1,364,1
114632-22072022,22 Jul 2022,2022,10:40:05,10,Special Service,Special Service,Assist other agencies,Dwelling,House - single occupancy ,Correct incident location,,TW13,0,21500347,E09000018,HOUNSLOW,Hounslow,E05013614,FELTHAM WEST,FELTHAM WEST,,,509950,171850,,,London,Feltham,395,Feltham,,,1,1,1,3,1092,1
114717-22072022,22 Jul 2022,2022,13:16:51,13,Special Service,Special Service,Animal assistance incidents,Dwelling,House - single occupancy ,Within same building,,TW13,0,21501761,E09000018,HOUNSLOW,Hounslow,E05013614,FELTHAM WEST,FELTHAM WEST,,,510350,173150,,,London,Feltham,492,Twickenham,,,1,1,1,1,364,1
114880-22072022,22 Jul 2022,2022,18:25:32,18,False Alarm,AFA,,Non Residential,Purpose built office ,Correct incident location,TW1 1DZ,TW1,2.00004E+11,22403789,E09000018,HOUNSLOW,Hounslow,E05013625,ISLEWORTH,ISLEWORTH,515481,174351,515450,174350,51.45637591,-0.339257628,London,Heston,378,Heston,,,1,1,1,1,364,1
114889-22072022,22 Jul 2022,2022,18:47:20,18,False Alarm,False alarm - Good intent,,Dwelling,House - single occupancy ,Correct incident location,,TW4,0,21500092,E09000018,HOUNSLOW,Hounslow,E05013624,HOUNSLOW WEST,HOUNSLOW WEST,,,512150,175450,,,London,Feltham,311,Feltham,,,1,1,1,1,364,1
114942-22072022,22 Jul 2022,2022,19:51:00,19,Fire,Secondary Fire,,Outdoor,Hedge,Open land/water - nearest gazetteer location,TW13 7NA,TW13,10094944724,21500716,E09000018,HOUNSLOW,Hounslow,E05013615,HANWORTH PARK,HANWORTH PARK,510327,171901,510350,171950,51.4353813,-0.414172746,London,Feltham,479,Feltham,,,1,1,1,1,364,2
114956-22072022,22 Jul 2022,2022,20:13:50,20,False Alarm,AFA,,Dwelling,Licensed House in Multiple Occupation - 3 or more storeys ,Correct incident location,,W4,0,21501074,E09000018,HOUNSLOW,Hounslow,E05013611,CHISWICK RIVERSIDE,CHISWICK RIVERSIDE,,,519450,178250,,,London,Chiswick,175,Chiswick,257,Acton,2,2,2,1,364,1
114968-22072022,22 Jul 2022,2022,20:29:50,20,Fire,Secondary Fire,,Outdoor,Grassland/ pasture/ grazing etc ,Open land/water - nearest gazetteer location,TW14 9DN,TW14,10091690871,21500631,E09000018,HOUNSLOW,Hounslow,E05013613,FELTHAM NORTH,FELTHAM NORTH,510712,173657,510750,173650,51.45109047,-0.408091162,London,Feltham,1,Feltham,,,1,1,1,1,364,1
115003-22072022,22 Jul 2022,2022,21:57:40,21,Fire,Secondary Fire,,Outdoor,Park ,On land associated with building,TW4 6HN,TW4,10093256632,21590033,E09000018,HOUNSLOW,Hounslow,E05013612,CRANFORD,CRANFORD,510942,175857,510950,175850,51.47081418,-0.404084276,London,Feltham,199,Feltham,,,1,1,1,1,364,2
115038-22072022,22 Jul 2022,2022,23:02:43,23,Special Service,Special Service,Removal of objects from people,Non Residential,Fire station ,Within same building,TW7 4HR,TW7,1.00023E+11,21500707,E09000018,HOUNSLOW,Hounslow,E05013626,OSTERLEY & SPRING GROVE,OSTERLEY & SPRING GROVE,515172,176412,515150,176450,51.47496219,-0.343035678,London,Heston,11,Heston,,,1,1,1,1,364,1
115211-23072022,23 Jul 2022,2022,08:43:00,8,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Within same building,,TW3,0,21500706,E09000018,HOUNSLOW,Hounslow,E05013621,HOUNSLOW EAST,HOUNSLOW EAST,,,514350,175450,,,London,Heston,218,Heston,246,Heston,1,2,2,1,364,1
